numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
5.000000e-06	1.0000e-03	200	0:37:32.110176	8.150000000e-04	196	0:00:11.016598	72.806	25.391	200	73.525	25.650	5.725545661e-04	6.0483802e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.500000e-06	1.0000e-03	200	0:37:29.564933	8.150000000e-04	192	0:00:10.796749	72.125	25.139	199	73.241	25.425	5.708560463e-04	6.2369922e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.000000e-05	1.0000e-03	200	0:37:56.008434	7.300000000e-04	189	0:00:10.855751	67.169	21.497	199	68.427	21.977	5.789541021e-04	6.8389069e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.148437e-05	1.0000e-03	200	0:37:22.101842	8.000000000e-04	171	0:00:09.998892	66.936	22.771	195	70.087	24.093	5.784185873e-04	5.8515279e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.296875e-05	1.0000e-03	200	0:37:50.220446	7.245312500e-04	173	0:00:10.293938	67.676	22.523	194	69.784	22.970	5.759779678e-04	6.1150787e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.445313e-05	1.0000e-03	200	0:38:16.527154	7.281250000e-04	161	0:00:09.971332	65.118	20.385	195	68.108	20.984	5.729584634e-04	6.1453836e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.593750e-05	1.0000e-03	200	0:39:45.252646	8.000000000e-04	154	0:00:10.049158	64.870	20.405	190	68.632	21.019	5.741963869e-04	5.7756041e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.742188e-05	1.0000e-03	200	0:39:45.732685	6.830468750e-04	146	0:00:10.110573	63.705	20.798	187	66.925	21.037	5.707125401e-04	6.3030026e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.890625e-05	1.0000e-03	200	0:40:18.175092	7.775000000e-04	127	0:00:09.610581	63.551	21.454	185	67.978	20.733	5.743155944e-04	5.8374133e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.039062e-05	1.0000e-03	200	0:39:52.524892	7.400000000e-04	128	0:00:09.518411	64.531	19.369	179	69.117	20.043	5.717986514e-04	5.7239942e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.187500e-05	1.0000e-03	200	0:38:21.005667	7.781250000e-04	147	0:00:09.524734	61.524	18.082	180	65.050	19.212	5.876439063e-04	6.1030646e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.335938e-05	1.0000e-03	200	0:39:46.713951	8.112500000e-04	127	0:00:09.468453	60.394	18.941	168	64.815	19.620	5.896730382e-04	6.2029134e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.484375e-05	1.0000e-03	200	0:39:12.904988	8.234375000e-04	122	0:00:09.137346	59.254	17.349	165	62.467	18.159	5.919289173e-04	6.3931567e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.781250e-05	1.0000e-03	200	0:41:11.802133	6.428125000e-04	105	0:00:08.995947	57.800	15.981	152	61.743	17.274	5.789969501e-04	6.9851424e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
2.929687e-05	1.0000e-03	200	0:39:09.131293	7.519531250e-04	98	0:00:08.564923	55.633	15.856	146	58.993	17.338	5.810471975e-04	6.4740694e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.078125e-05	1.0000e-03	200	0:39:33.865567	8.193750000e-04	94	0:00:08.365647	56.106	15.601	141	59.957	16.150	5.741598630e-04	6.3673063e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.226562e-05	1.0000e-03	200	0:39:32.316525	7.573437500e-04	103	0:00:08.391370	54.117	14.727	149	59.027	16.876	5.774901416e-04	5.9800861e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.375000e-05	1.0000e-03	200	0:40:41.629338	6.162500000e-04	97	0:00:08.890751	56.649	16.163	138	58.558	16.930	5.805510403e-04	6.8984601e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.523438e-05	1.0000e-03	200	0:40:52.105460	7.663281250e-04	89	0:00:08.226759	54.191	14.922	128	58.922	16.537	5.773970564e-04	5.4623913e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.671875e-05	1.0000e-03	200	0:40:38.128007	7.742187500e-04	92	0:00:08.779629	55.543	16.538	133	58.278	16.225	6.010453925e-04	6.1157079e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.820313e-05	1.0000e-03	200	0:40:34.710684	7.540625000e-04	82	0:00:08.202486	52.549	15.503	121	55.686	16.081	5.895719070e-04	6.5108018e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH';function converged
3.968750e-05	1.0000e-03	200	0:40:45.236304	8.215625000e-04	82	0:00:08.824554	54.890	15.783	125	57.368	16.228	5.896294347e-04	5.3095404e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.265625e-05	1.0000e-03	200	0:41:53.105550	7.868750000e-04	62	0:00:08.179286	52.145	14.428	112	57.125	15.750	5.753005712e-04	5.1174008e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.414062e-05	1.0000e-03	200	0:41:42.625651	7.386718750e-04	47	0:00:07.712361	51.000	12.634	104	54.596	13.990	5.788624140e-04	5.9861334e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.562500e-05	1.0000e-03	200	0:42:07.621337	7.125000000e-04	58	0:00:08.902567	53.207	14.241	99	56.960	16.017	5.828281429e-04	6.4105879e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.710937e-05	1.0000e-03	200	0:41:55.333113	8.194531250e-04	64	0:00:08.396610	51.500	13.463	111	55.432	14.246	5.859065118e-04	6.3533369e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH';function converged
4.859375e-05	1.0000e-03	200	0:39:05.958034	7.559375000e-04	72	0:00:07.566972	48.847	10.691	110	51.045	11.806	6.118279139e-04	6.2885914e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.007812e-05	1.0000e-03	200	0:42:47.491393	8.812500000e-04	53	0:00:07.727720	49.151	11.922	91	53.110	14.239	5.820001155e-04	5.8817736e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.156250e-05	1.0000e-03	200	0:41:16.084520	8.187500000e-04	55	0:00:08.140959	51.618	11.932	92	55.511	14.352	5.779033447e-04	5.7335018e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.304688e-05	1.0000e-03	200	0:42:20.972125	8.224218750e-04	42	0:00:07.629444	48.548	11.650	88	51.352	13.799	5.905448539e-04	6.6035894e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.453125e-05	1.0000e-03	200	0:40:50.604287	7.753125000e-04	53	0:00:07.510925	47.321	10.876	98	51.398	13.961	5.950996493e-04	5.9926453e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.601563e-05	1.0000e-03	200	0:39:05.530271	7.463281250e-04	50	0:00:07.369451	47.180	10.027	98	50.051	13.278	5.824700653e-04	5.9208850e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.750000e-05	1.0000e-03	200	0:42:05.857674	7.825000000e-04	46	0:00:08.112428	48.174	10.577	100	51.370	13.109	5.934079542e-04	6.7882313e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.898438e-05	1.0000e-03	200	0:41:46.599092	7.835937500e-04	42	0:00:07.960430	48.881	8.018	93	51.161	11.180	5.779226445e-04	5.0127529e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.046875e-05	1.0000e-03	200	0:41:12.718100	7.821875000e-04	33	0:00:07.149904	44.606	7.290	71	47.197	9.856	5.695972087e-04	6.4908519e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.195312e-05	1.0000e-03	200	0:42:24.639874	7.107031250e-04	35	0:00:07.970525	47.229	8.929	73	50.274	11.661	5.776368940e-04	6.4464605e-05	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
6.343750e-05	1.0000e-03	200	0:41:01.802756	7.671875000e-04	44	0:00:07.649610	45.682	10.264	83	48.361	11.500	5.803837659e-04	6.0362989e-05	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
6.492187e-05	1.0000e-03	200	0:40:41.256870	7.957812500e-04	47	0:00:07.811192	46.851	10.242	92	48.217	11.129	5.922800894e-04	6.0999772e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.640625e-05	1.0000e-03	200	0:41:19.258515	8.398437500e-04	36	0:00:07.155164	45.167	8.780	68	47.926	11.173	5.956395393e-04	4.7761190e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.789062e-05	1.0000e-03	200	0:41:12.620730	7.568750000e-04	30	0:00:07.309576	47.533	10.359	68	49.588	11.657	5.755763437e-04	6.8264588e-05	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
6.937500e-05	1.0000e-03	200	0:41:48.870591	7.512500000e-04	30	0:00:07.497327	46.367	6.765	66	47.621	11.210	5.932103204e-04	6.2595875e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.234375e-05	1.0000e-03	200	0:40:58.421951	8.528125000e-04	29	0:00:07.275237	44.621	10.084	60	44.617	8.695	6.015455683e-04	6.3077520e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.382813e-05	1.0000e-03	200	0:42:03.187710	8.082031250e-04	28	0:00:06.946551	45.000	8.714	73	49.096	11.936	6.125665957e-04	7.1876347e-05	b'ABNORMAL_TERMINATION_IN_LNSRCH';Goal achieved
7.531250e-05	1.0000e-03	200	0:40:06.908343	7.543750000e-04	43	0:00:06.907266	42.744	7.263	72	45.708	10.149	6.108768926e-04	7.6070010e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.679688e-05	1.0000e-03	200	0:41:05.261027	7.469531250e-04	28	0:00:07.561025	45.214	7.830	55	48.327	10.412	5.778174768e-04	5.9311268e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.828125e-05	1.0000e-03	200	0:42:26.418389	7.751562500e-04	20	0:00:07.096661	44.500	7.612	56	47.696	11.100	5.733036517e-04	5.1301908e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.976563e-05	1.0000e-03	200	0:41:12.988279	8.341406250e-04	18	0:00:07.399764	44.167	8.268	53	45.075	8.914	6.317348239e-04	6.8381961e-05	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
