numer_acc	fid_err_targ	fid_err_primary	fid_err_secondary	num_iter	run_time	termination
3.000000e-04	3.0000e-02	0.0217	0.0177883734	26	0:02:16.609440	Goal achieved
3.000000e-04	3.0000e-02	0.0226	0.0130267727	16	0:01:44.206589	Goal achieved
3.000000e-04	3.0000e-02	0.0226	0.0159568648	29	0:02:20.128154	Goal achieved
3.000000e-04	3.0000e-02	0.0229	0.0159718887	24	0:00:48.530909	Goal achieved
3.000000e-04	3.0000e-02	0.0238	0.0160131364	25	0:02:14.752474	Goal achieved
3.000000e-04	3.0000e-02	0.0238	0.0153860653	27	0:01:54.995773	Goal achieved
3.000000e-04	3.0000e-02	0.0244	0.0185923981	26	0:00:51.504133	Goal achieved
3.000000e-04	3.0000e-02	0.025	0.0168169074	41	0:00:51.102977	Goal achieved
3.000000e-04	3.0000e-02	0.0253	0.0170849791	36	0:02:42.381808	Goal achieved
3.000000e-04	3.0000e-02	0.0253	0.0180223325	29	0:02:33.860427	Goal achieved
3.000000e-04	3.0000e-02	0.0253	0.0150588746	24	0:01:50.882821	Goal achieved
3.000000e-04	3.0000e-02	0.0253	0.0142236449	18	0:00:48.094595	Goal achieved
3.000000e-04	3.0000e-02	0.0259	0.0152816823	20	0:00:41.537537	Goal achieved
3.000000e-04	3.0000e-02	0.0268	0.0176239502	20	0:02:15.703924	Goal achieved
3.000000e-04	3.0000e-02	0.0268	0.0155176187	17	0:00:38.663071	Goal achieved
3.000000e-04	3.0000e-02	0.0271	0.020069707	31	0:00:59.753611	Goal achieved
3.000000e-04	3.0000e-02	0.0271	0.0171479126	41	0:02:51.829099	Goal achieved
3.000000e-04	3.0000e-02	0.0271	0.0168849883	15	0:01:35.446653	Goal achieved
3.000000e-04	3.0000e-02	0.0271	0.0198280572	25	0:01:49.256971	Goal achieved
3.000000e-04	3.0000e-02	0.0271	0.0187004287	19	0:01:41.823284	Goal achieved
3.000000e-04	3.0000e-02	0.0274	0.0193044466	31	0:02:01.765193	Goal achieved
3.000000e-04	3.0000e-02	0.0274	0.0181064447	44	0:02:08.778143	Goal achieved
3.000000e-04	3.0000e-02	0.0274	0.0179783034	20	0:00:42.750951	Goal achieved
3.000000e-04	3.0000e-02	0.0277	0.0189370523	30	0:02:21.354266	Goal achieved
3.000000e-04	3.0000e-02	0.0277	0.0153020113	47	0:02:08.861169	Goal achieved
3.000000e-04	3.0000e-02	0.0277	0.0183989482	17	0:02:02.947547	Goal achieved
3.000000e-04	3.0000e-02	0.028	0.0194209158	24	0:01:45.904412	Goal achieved
3.000000e-04	3.0000e-02	0.028	0.0187605682	25	0:02:29.430848	Goal achieved
3.000000e-04	3.0000e-02	0.028	0.0206641075	19	0:00:39.464695	Goal achieved
3.000000e-04	3.0000e-02	0.028	0.0227671474	25	0:00:48.331524	Goal achieved
3.000000e-04	3.0000e-02	0.028	0.0198384295	33	0:00:38.297318	Goal achieved
3.000000e-04	3.0000e-02	0.0283	0.0176916193	36	0:02:42.277168	Goal achieved
3.000000e-04	3.0000e-02	0.0286	0.0166292507	18	0:00:54.405620	Goal achieved
