numer_acc	fid_err_targ	num_res	total_run_time	min_primary_fid_err	num_primary_success	avg_primary_success_run_time	mean_iter_primary_success	std_iter_primary_success	num_secondary_success	mean_iter_secondary_success	std_iter_secondary_success	mean_primary_success_second_fid	std_primary_success_second_fid	termination
1.000000e-04	1.0000e-02	50	0:00:47.095219	6.700000000e-03	50	0:00:00.941904	27.520	5.825	50	27.520	5.825	5.589053505e-03	5.9849149e-04	Goal achieved
3.375000e-04	1.0000e-02	50	0:00:55.486350	8.412500000e-03	48	0:00:01.058916	27.646	5.868	50	27.860	5.858	5.711955160e-03	4.6059767e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
3.968750e-04	1.0000e-02	50	0:01:20.690501	6.893750000e-03	44	0:00:01.366291	27.205	5.991	50	27.360	5.851	5.752208752e-03	6.3300554e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
4.562500e-04	1.0000e-02	50	0:00:55.158707	7.556250000e-03	45	0:00:00.947249	25.622	4.776	50	26.020	4.917	5.812350032e-03	5.7960671e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.156250e-04	1.0000e-02	50	0:01:07.911420	7.109375000e-03	41	0:00:01.172510	26.366	5.999	50	27.080	6.260	5.527743346e-03	4.7161022e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
5.750000e-04	1.0000e-02	50	0:00:52.883640	7.050000000e-03	45	0:00:00.938318	24.711	4.787	50	24.920	4.732	5.879625014e-03	4.7741416e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.343750e-04	1.0000e-02	50	0:01:25.895504	6.793750000e-03	39	0:00:01.271672	25.923	5.269	50	26.040	5.134	5.971942822e-03	5.7969573e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
6.937500e-04	1.0000e-02	50	0:01:09.972788	6.162500000e-03	29	0:00:00.920224	26.828	5.240	50	27.000	4.829	5.749933108e-03	6.8972942e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
7.531250e-04	1.0000e-02	50	0:01:13.801435	5.725000000e-03	33	0:00:00.981524	26.152	5.100	50	26.780	5.304	5.758618996e-03	6.5265851e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
8.125000e-04	1.0000e-02	50	0:01:11.107083	4.500000000e-03	32	0:00:00.924746	25.531	5.712	50	26.000	5.381	5.593176038e-03	7.5639053e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
8.718750e-04	1.0000e-02	50	0:01:12.160895	6.021875000e-03	32	0:00:00.963169	24.375	4.986	49	24.898	5.300	5.651498958e-03	7.2486813e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
9.312500e-04	1.0000e-02	50	0:01:12.461993	7.125000000e-03	28	0:00:00.860814	25.214	4.039	48	25.833	4.692	5.892045261e-03	7.7104609e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
9.906250e-04	1.0000e-02	50	0:01:43.245942	5.871875000e-03	28	0:00:01.295809	24.714	4.258	48	25.146	4.320	6.105775354e-03	7.2098916e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.050000e-03	1.0000e-02	50	0:01:50.102159	6.050000000e-03	17	0:00:01.045512	25.412	4.001	46	26.000	5.477	5.638903489e-03	5.0466482e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.109375e-03	1.0000e-02	50	0:01:20.497991	7.562500000e-03	30	0:00:01.072630	23.900	4.150	45	24.578	3.997	5.845359988e-03	7.1955411e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.168750e-03	1.0000e-02	50	0:01:01.874922	3.775000000e-03	33	0:00:00.829496	24.212	4.551	47	24.787	5.061	5.811356517e-03	8.4347589e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.228125e-03	1.0000e-02	50	0:01:23.586043	6.753125000e-03	20	0:00:00.837384	24.850	4.102	39	25.282	4.635	5.526927727e-03	7.1300039e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.287500e-03	1.0000e-02	50	0:01:19.507686	8.237500000e-03	20	0:00:00.964326	25.800	5.510	45	24.889	5.056	5.825290311e-03	4.4015969e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.346875e-03	1.0000e-02	50	0:01:27.993849	5.278125000e-03	19	0:00:01.054398	23.789	3.636	39	24.282	3.665	5.433336525e-03	6.8312974e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.406250e-03	1.0000e-02	50	0:01:20.093681	7.343750000e-03	17	0:00:00.859778	25.176	5.690	34	25.382	5.145	5.406851172e-03	5.6428471e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.465625e-03	1.0000e-02	50	0:01:43.854331	6.750000000e-03	16	0:00:01.236297	25.250	4.409	36	25.056	4.807	5.973166433e-03	6.2445828e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.525000e-03	1.0000e-02	50	0:01:14.003824	6.825000000e-03	22	0:00:00.865469	24.773	5.862	38	24.184	5.072	6.093261086e-03	8.9282166e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.584375e-03	1.0000e-02	50	0:01:30.746524	6.856250000e-03	12	0:00:00.864848	24.583	4.291	34	24.529	4.333	5.415463249e-03	5.9413709e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.643750e-03	1.0000e-02	50	0:01:16.465358	7.775000000e-03	19	0:00:00.839494	23.474	4.453	36	23.556	4.764	5.899777936e-03	4.0687928e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.703125e-03	1.0000e-02	50	0:01:18.457460	7.343750000e-03	18	0:00:00.807961	23.556	4.387	38	23.789	4.175	5.955081716e-03	4.7633799e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.762500e-03	1.0000e-02	50	0:01:47.731435	4.850000000e-03	15	0:00:01.054382	22.733	3.172	35	23.829	4.164	5.160294925e-03	1.1272788e-03	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
1.821875e-03	1.0000e-02	50	0:01:27.825219	5.046875000e-03	8	0:00:00.775733	22.875	4.400	27	22.741	3.708	5.276481437e-03	7.9169679e-04	Goal achieved;b'ABNORMAL_TERMINATION_IN_LNSRCH'
